t_index term df
1139 airlift 4
1140 airlin 6
1141 airlock 1
1142 airman 1
1143 airmen 11
1144 airplan 7
1145 airport 49
1146 airqual 1
1147 airstrik 4
1148 airtim 2
1149 airtoair 1
1150 airtraff 1
1151 airwai 3
1152 airwav 1
1153 aisl 3
1154 aj 1
1155 ajax 1
1156 ajnar 3
1157 akaka 2
1158 akan 2
1159 akin 3
1160 akishio 1
1161 akouedo 1
1162 al 74
1163 ala 4
1164 alabama 5
1165 alabidin 4
1166 alahmar 1
1167 alain 1
1168 alami 1
1169 alamoudi 1
1170 alan 5
1171 alarm 19
1172 alasan 1
1173 alaska 3
1174 alaskan 1
1175 alassan 27
1176 alayyam 1
1177 albadawi 1
1178 albani 1
1179 albania 1
1180 albanian 18
1181 albanianamerican 1
1182 albeit 4
1183 albert 1
1184 alberto 66
1185 albright 47
1186 album 1
1187 alce 3
1188 alcohol 5
1189 alehandr 1
1190 alejandro 14
1191 aleksa 1
1192 aleksandar 6
1193 aler 1
1194 alert 62
1195 alessio 4
1196 alex 10
1197 alexa 2
1198 alexand 9
1199 alexandria 1
1200 alexei 1
1201 alexeyev 1
1202 alexsand 1
1203 alfadhli 1
1204 alfonso 1
1205 alfr 2
1206 alfredo 1
1207 algamaa 2
1208 algamaat 1
1209 algeria 3
1210 algerian 5
1211 algerin 1
1212 alghashmi 1
1213 alhadith 1
1214 alhamdi 1
1215 alharazi 2
1216 alhassan 1
1217 ali 44
1218 alia 2
1219 alibi 1
1220 alien 3
1221 alight 1
1222 align 5
1223 alija 1
1224 alik 9
1225 aliryani 11
1226 alisan 2
1227 alisha 1
1228 alislamiya 2
1229 alislaymiyya 1
1230 aliv 84
1231 aljazeera 3
1232 aljefri 1
1233 aljihad 1
1234 alkhamri 1
1235 allafricacom 1
1236 allah 1
1237 allahabad 2
1238 allahbad 1
1239 allan 1
1240 alleg 72
1241 allegedli 23
1242 allegi 1
1243 allei 2
1244 allen 22
1245 allentown 1
1246 alleywai 3
1247 allfranc 1
1248 allfrench 2
1249 alli 86
1250 allianc 10
1251 allimport 1
1252 alliz 1
1253 allnight 2
1254 allot 1
1255 allow 133
1256 allparti 1
1257 allstar 1
1258 alltim 1
1259 allud 2
1260 allus 5
1261 allwilliam 1
1262 alma 1
1263 almagor 1
1264 almasri 2
1265 almegrahi 1
1266 almidhar 2
1267 almihdar 3
1268 almuhajiroun 3
1269 almusawah 3
1270 alnaderi 2
1271 alnahdi 1
1272 alnizali 1
1273 alomeri 1
1274 alongsid 39
1275 alou 1
1276 alowhali 2
1277 alpha 2
1278 alphabet 3
1279 alpin 1
1280 alqadhi 2
1281 alqaeda 1
1282 alqaida 3
1283 alribat 1
1284 alshahrani 3
1285 alsharia 1
1286 alsharjani 1
1287 alsharq 1
1288 alshueib 1
1289 alter 8
1290 altern 20
1291 altitud 1
1292 altogeth 4
1293 aluminum 2
1294 alun 6
1295 alwadi 1
1296 alzawahri 2
1297 alzindani 1
1298 amad 3
1299 amanda 17
1300 amarillo 2
1301 amartej 3
1302 amaru 4
1303 amass 4
1304 amateur 2
1305 amaz 10
1306 amazingli 1
1307 ambassador 47
1308 ambersag 1
1309 ambigu 1
1310 ambit 8
1311 ambiti 2
1312 ambival 2
1313 ambul 11
1314 ambush 1
1315 ameli 6
1316 amend 2
1317 amerasian 1
1318 america 128
1319 american 341
1320 americanislam 1
1321 americanl 1
1322 americanstatesman 1
1323 americanyemeni 1
1324 americorp 1
1325 amh 1
1326 ami 2
1327 amiabl 2
1328 amic 1
1329 amid 51
1330 amidship 2
1331 amin 1
1332 amit 1
1333 amman 2
1334 ammo 1
1335 ammonium 1
1336 ammunit 22
1337 amnesia 2
1338 amnesti 2
1339 amp 5
1340 amphibi 3
1341 ampl 2
1342 ampli 1
1343 amplifi 1
1344 amput 12
1345 ana 7
1346 anacostia 1
1347 analges 1
1348 analog 1
1349 analysi 9
1350 analyst 38
1351 analyz 5
1352 anarch 2
1353 anathema 1
1354 anatoli 8
1355 anca 4
1356 ancestor 3
1357 ancestr 25
1358 ancestri 1
1359 anchor 8
1360 anchorag 2
